date,year,month,month_num,ccpi_headline_yoy,ccpi_core_yoy,ncpi_headline_yoy,ncpi_core_yoy
2023-01-01,2023,January,1,51.7,45.6,53.2,52.0
2023-02-01,2023,February,2,50.6,43.6,53.6,50.1
2023-03-01,2023,March,3,50.3,39.1,49.2,44.2
2023-04-01,2023,April,4,35.3,27.8,33.6,31.8
2023-05-01,2023,May,5,25.2,20.3,22.1,21.6
2023-06-01,2023,June,6,12.0,9.8,10.8,11.3
2023-07-01,2023,July,7,6.3,5.9,4.6,6.3
2023-08-01,2023,August,8,4.0,4.6,2.1,4.1
2023-09-01,2023,September,9,1.3,1.9,0.8,1.7
2023-10-01,2023,October,10,1.5,1.2,1.0,0.6
2023-11-01,2023,November,11,3.4,0.8,2.8,0.8
2023-12-01,2023,December,12,4.0,0.6,4.2,0.9
2024-01-01,2024,January,1,6.4,2.2,6.5,2.2
2024-02-01,2024,February,2,5.9,2.8,5.1,2.7
2024-03-01,2024,March,3,0.9,3.1,2.5,3.4
2024-04-01,2024,April,4,1.5,3.4,2.7,3.0
2024-05-01,2024,May,5,0.9,3.5,1.6,3.1
2024-06-01,2024,June,6,1.7,4.4,2.4,3.9
2024-07-01,2024,July,7,2.4,4.4,2.5,3.0
2024-08-01,2024,August,8,0.5,3.6,1.1,2.3
2024-09-01,2024,September,9,-0.5,3.3,-0.2,1.9
2024-10-01,2024,October,10,-0.8,3.0,-0.7,1.7
2024-11-01,2024,November,11,-2.1,2.7,-1.7,1.5
2024-12-01,2024,December,12,-1.7,2.7,-2.0,1.3
2025-01-01,2025,January,1,-4.0,1.2,-4.0,-0.2
2025-02-01,2025,February,2,-4.2,0.7,-3.9,-0.6
2025-03-01,2025,March,3,-2.6,0.7,-1.9,-0.6
2025-04-01,2025,April,4,-2.0,0.8,-0.8,-0.1
2025-05-01,2025,May,5,-0.7,1.2,0.6,0.3
2025-06-01,2025,June,6,-0.6,1.5,0.3,0.6
2025-07-01,2025,July,7,-0.3,1.6,0.7,0.9
2025-08-01,2025,August,8,1.2,2.0,1.5,1.5
