Date,TT Rates -Buying USD,TT Rates -Selling USD,TT Rates -Buying GBP,TT Rates -Selling GBP,TT Rates -Buying EURO,TT Rates -Selling EURO,TT Rates -Buying CHF,TT Rates -Selling CHF,TT Rates -Buying CAD,TT Rates -Selling CAD,TT Rates -Buying AUD,TT Rates -Selling AUD,TT Rates -Buying SGD,TT Rates -Selling SGD,TT Rates -Buying JPY,TT Rates -Selling JPY,TT Rates -Buying CNY,TT Rates -Selling CNY
2025-08-26,298.47,306.01,400.81,413.31,345.89,357.46,368.28,383.08,214.12,222.07,191.15,200.52,230.62,239.99,2.01,2.08,40.83,43.38
2025-08-27,298.49,306.03,400.64,413.26,345.81,357.26,368.14,383.16,214.36,222.31,191.54,200.91,230.28,239.62,2.01,2.08,40.85,43.4
2025-08-28,298.65,306.18,402.46,415.11,346.65,358.16,369.98,385.09,215.52,223.51,192.44,201.82,230.64,240.14,2.02,2.09,40.9,43.43
2025-08-29,298.63,306.16,401.98,414.62,346.92,358.45,369.2,384.26,215.79,223.79,193.0,202.39,230.88,240.4,2.02,2.09,41.0,43.56
2025-09-01,298.31,305.82,402.18,414.83,347.92,359.44,370.1,385.22,215.83,223.83,193.0,202.4,230.75,240.11,2.02,2.09,40.95,43.5
2025-09-02,298.24,305.82,402.27,414.9,347.45,359.03,369.32,384.41,215.49,223.48,192.88,202.29,230.22,239.71,2.01,2.08,40.87,43.42
2025-09-03,298.44,305.97,397.75,410.31,345.7,357.2,367.69,382.71,215.06,223.04,192.52,201.69,229.74,239.08,2.0,2.07,40.9,43.45
2025-09-04,298.29,305.83,399.4,411.99,346.28,357.8,368.06,383.09,214.72,222.69,192.85,202.04,229.85,239.17,2.0,2.07,40.88,43.43
2025-09-08,298.26,305.77,401.48,414.11,348.02,359.55,370.87,386.02,214.28,222.23,193.53,202.74,230.37,239.7,2.0,2.08,40.92,43.47
2025-09-09,298.26,305.77,403.36,416.03,349.7,361.26,373.41,388.65,214.71,222.67,194.75,204.0,230.98,240.33,2.02,2.09,40.98,43.54
2025-09-10,298.25,305.75,402.36,415.03,347.8,359.32,371.12,386.28,213.92,221.85,194.65,203.88,230.75,240.11,2.02,2.09,40.96,43.52
2025-09-11,298.27,305.77,402.24,414.91,347.54,359.06,370.48,385.62,213.68,221.61,195.12,204.37,230.6,240.1,2.01,2.08,40.99,43.55
2025-09-12,298.12,305.65,403.0,415.52,348.17,359.72,371.36,386.52,213.95,221.9,196.43,205.71,230.75,240.14,2.01,2.08,40.98,43.52
2025-09-15,298.25,305.78,403.23,415.89,348.48,359.98,371.46,386.64,214.1,222.04,196.37,205.63,230.79,240.32,2.01,2.08,40.98,43.54
2025-09-16,298.32,305.85,404.9,417.62,350.0,361.54,372.92,388.19,215.29,223.28,196.81,206.06,231.27,240.81,2.02,2.09,41.03,43.59
2025-09-17,298.3,305.83,405.73,418.45,352.31,363.91,376.21,391.59,215.56,223.57,197.05,206.35,232.07,241.44,2.03,2.1,41.08,43.65
2025-09-18,298.23,305.75,405.3,417.84,351.17,362.81,375.0,390.33,215.11,223.09,196.3,205.38,231.58,240.96,2.02,2.09,41.07,43.64
2025-09-19,298.28,305.81,402.8,415.46,350.22,361.68,373.26,388.54,214.89,222.79,194.98,204.23,230.71,240.24,2.01,2.08,41.05,43.59
2025-09-22,298.66,306.17,400.87,413.51,349.06,360.58,371.84,387.08,215.13,223.11,194.72,203.92,230.68,239.95,2.0,2.07,41.08,43.64
2025-09-23,298.72,306.25,402.56,415.06,351.18,362.87,374.29,389.61,214.72,222.67,194.68,203.92,231.18,240.57,2.01,2.08,41.1,43.66
2025-09-24,298.76,306.28,402.46,415.11,351.15,362.75,374.21,389.52,214.47,222.41,195.6,204.87,230.98,240.34,2.01,2.08,41.08,43.65
2025-09-25,298.86,306.09,401.01,413.27,349.76,361.03,372.95,388.21,213.75,221.67,194.95,204.13,230.44,239.41,2.0,2.07,41.09,43.54
