Indicator,Date,Value
2.0,2025-03-30,1462185.72
2.0,2025-03-31,1462185.72
2.0,2025-04-01,1472207.5
2.0,2025-04-02,1487139.25
1.0,2025-04-03,1721402.5
2.0,2025-04-03,1502492.02
2.0,2025-04-04,1515827.15
2.0,2025-04-05,1515827.15
2.0,2025-04-06,1515827.15
2.0,2025-04-07,1518334.62
2.0,2025-04-08,1531057.22
2.0,2025-04-09,1542253.89
1.0,2025-04-10,1798490.58
2.0,2025-04-10,1569241.63
2.0,2025-04-11,1579772.48
2.0,2025-04-12,1579772.48
2.0,2025-04-13,1579772.48
2.0,2025-04-14,1579772.48
2.0,2025-04-15,1579772.48
1.0,2025-04-16,1798418.52
2.0,2025-04-16,1581772.48
2.0,2025-04-17,1581650.67
2.0,2025-04-18,1581650.67
2.0,2025-04-19,1581650.67
2.0,2025-04-20,1581650.67
2.0,2025-04-21,1572064.17
2.0,2025-04-22,1557473.99
2.0,2025-04-23,1544969.82
1.0,2025-04-24,1759808.93
2.0,2025-04-24,1522004.94
2.0,2025-04-25,1514155.34
2.0,2025-04-26,1514155.34
2.0,2025-04-27,1514155.34
2.0,2025-04-28,1500320.56
2.0,2025-04-29,1489036.55
1.0,2025-04-30,1677707.38
2.0,2025-04-30,1489036.14
2.0,2025-05-01,1489036.14
2.0,2025-05-02,1482286.73
2.0,2025-05-03,1482286.73
2.0,2025-05-04,1482286.73
2.0,2025-05-05,1478611.72
2.0,2025-05-06,1478611.48
2.0,2025-05-07,1477525.74
1.0,2025-05-08,1685737.56
2.0,2025-05-08,1476735.24
2.0,2025-05-09,1476735.67
2.0,2025-05-10,1476735.67
2.0,2025-05-11,1476735.67
2.0,2025-05-12,1476735.67
2.0,2025-05-13,1476735.67
2.0,2025-05-14,1482266.91
1.0,2025-05-15,1685216.5
2.0,2025-05-15,1483630.37
2.0,2025-05-16,1483630.47
2.0,2025-05-17,1483630.47
2.0,2025-05-18,1483630.47
2.0,2025-05-19,1483625.78
2.0,2025-05-20,1482055.3
2.0,2025-05-21,1480205.46
1.0,2025-05-22,1655095.21
2.0,2025-05-22,1473915.95
2.0,2025-05-23,1473313.77
2.0,2025-05-24,1473313.77
2.0,2025-05-25,1473313.77
2.0,2025-05-26,1467162.09
2.0,2025-05-27,1466922.99
2.0,2025-05-28,1466922.35
1.0,2025-05-29,1643835.31
2.0,2025-05-29,1465611.69
2.0,2025-05-30,1465606.92
2.0,2025-05-31,1465606.92
2.0,2025-06-01,1465606.92
2.0,2025-06-02,1465601.78
2.0,2025-06-03,1464288.19
2.0,2025-06-04,1470488.38
1.0,2025-06-05,1651202.68
2.0,2025-06-05,1468357.31
2.0,2025-06-06,1468357.56
2.0,2025-06-07,1468357.56
2.0,2025-06-08,1468357.56
2.0,2025-06-09,1467957.42
2.0,2025-06-10,1467957.42
2.0,2025-06-11,1469965.9
1.0,2025-06-12,1693716.08
